,date,value,name_B081BTZK9C
0,2019-11-13,25058.0,Food Jars & Canisters
1,2019-11-14,22409.0,Food Jars & Canisters
2,2019-11-15,30952.0,Food Jars & Canisters
3,2019-11-16,24553.0,Food Jars & Canisters
4,2019-11-17,24058.0,Food Jars & Canisters
5,2019-11-18,19825.0,Food Jars & Canisters
6,2019-11-19,18413.0,Food Jars & Canisters
7,2019-11-20,21796.0,Food Jars & Canisters
8,2019-11-21,24209.0,Food Jars & Canisters
9,2019-11-22,20857.0,Food Jars & Canisters
10,2019-11-23,17134.0,Food Jars & Canisters
11,2019-11-24,17134.0,Food Jars & Canisters
12,2019-11-25,24430.0,Food Jars & Canisters
13,2019-11-26,23951.0,Food Jars & Canisters
14,2019-11-27,23388.0,Food Jars & Canisters
15,2019-11-28,29915.0,Food Jars & Canisters
16,2019-11-29,35895.0,Food Jars & Canisters
17,2019-11-30,18320.0,Food Jars & Canisters
18,2019-12-01,21020.0,Food Jars & Canisters
19,2019-12-02,23868.0,Food Jars & Canisters
20,2019-12-03,21742.0,Food Jars & Canisters
21,2019-12-04,22715.0,Food Jars & Canisters
22,2019-12-05,24913.0,Food Jars & Canisters
23,2019-12-06,20391.0,Food Jars & Canisters
24,2019-12-07,20426.0,Food Jars & Canisters
25,2019-12-08,17982.0,Food Jars & Canisters
26,2019-12-09,22140.0,Food Jars & Canisters
27,2019-12-10,17997.0,Food Jars & Canisters
28,2019-12-11,16844.0,Food Jars & Canisters
29,2019-12-12,15438.0,Food Jars & Canisters
30,2019-12-13,16456.0,Food Jars & Canisters
31,2019-12-14,16456.0,Food Jars & Canisters
32,2019-12-15,15014.0,Food Jars & Canisters
33,2019-12-16,13547.0,Food Jars & Canisters
34,2019-12-17,26665.0,Food Jars & Canisters
35,2019-12-18,26665.0,Food Jars & Canisters
36,2019-12-19,30128.0,Food Jars & Canisters
37,2019-12-20,29730.0,Food Jars & Canisters
38,2019-12-21,32113.0,Food Jars & Canisters
39,2019-12-22,32113.0,Food Jars & Canisters
40,2019-12-23,31089.0,Food Jars & Canisters
41,2019-12-24,31089.0,Food Jars & Canisters
42,2019-12-25,31089.0,Food Jars & Canisters
43,2019-12-26,25522.0,Food Jars & Canisters
44,2019-12-27,25522.0,Food Jars & Canisters
45,2019-12-28,25522.0,Food Jars & Canisters
46,2019-12-29,25522.0,Food Jars & Canisters
47,2019-12-30,14985.0,Food Jars & Canisters
48,2019-12-31,14985.0,Food Jars & Canisters
49,2020-01-01,14985.0,Food Jars & Canisters
50,2020-01-02,10350.0,Food Jars & Canisters
51,2020-01-03,10350.0,Food Jars & Canisters
52,2020-01-04,10320.0,Food Jars & Canisters
53,2020-01-05,10320.0,Food Jars & Canisters
54,2020-01-06,10320.0,Food Jars & Canisters
55,2020-01-07,9034.0,Food Jars & Canisters
56,2020-01-08,9034.0,Food Jars & Canisters
57,2020-01-09,10033.0,Food Jars & Canisters
58,2020-01-10,12737.0,Food Jars & Canisters
59,2020-01-11,12737.0,Food Jars & Canisters
60,2020-01-12,12737.0,Food Jars & Canisters
61,2020-01-13,10252.0,Food Jars & Canisters
62,2020-01-14,12095.0,Food Jars & Canisters
63,2020-01-15,18463.0,Food Jars & Canisters
64,2020-01-16,18955.0,Food Jars & Canisters
65,2020-01-17,18955.0,Food Jars & Canisters
66,2020-01-18,18955.0,Food Jars & Canisters
67,2020-01-19,10607.0,Food Jars & Canisters
68,2020-01-20,10607.0,Food Jars & Canisters
69,2020-01-21,10743.0,Food Jars & Canisters
70,2020-01-22,10743.0,Food Jars & Canisters
71,2020-01-23,17842.0,Food Jars & Canisters
72,2020-01-24,11729.0,Food Jars & Canisters
73,2020-01-25,11729.0,Food Jars & Canisters
74,2020-01-26,11729.0,Food Jars & Canisters
75,2020-01-27,9224.0,Food Jars & Canisters
76,2020-01-28,9224.0,Food Jars & Canisters
77,2020-01-29,13923.0,Food Jars & Canisters
78,2020-01-30,8510.0,Food Jars & Canisters
79,2020-01-31,9805.0,Food Jars & Canisters
80,2020-02-01,8245.0,Food Jars & Canisters
81,2020-02-02,7303.0,Food Jars & Canisters
82,2020-02-03,7303.0,Food Jars & Canisters
83,2020-02-04,11639.0,Food Jars & Canisters
84,2020-02-05,11639.0,Food Jars & Canisters
85,2020-02-06,12143.0,Food Jars & Canisters
86,2020-02-07,12143.0,Food Jars & Canisters
87,2020-02-08,12143.0,Food Jars & Canisters
88,2020-02-09,12360.0,Food Jars & Canisters
89,2020-02-10,12360.0,Food Jars & Canisters
90,2020-02-11,18696.0,Food Jars & Canisters
91,2020-02-12,26076.0,Food Jars & Canisters
92,2020-02-13,26076.0,Food Jars & Canisters
93,2020-02-14,26076.0,Food Jars & Canisters
94,2020-02-15,16609.0,Food Jars & Canisters
95,2020-02-16,16609.0,Food Jars & Canisters
96,2020-02-17,24068.0,Food Jars & Canisters
97,2020-02-18,24068.0,Food Jars & Canisters
98,2020-02-19,28467.0,Food Jars & Canisters
99,2020-02-20,26730.0,Food Jars & Canisters
100,2020-02-21,19589.0,Food Jars & Canisters
101,2020-02-22,24900.0,Food Jars & Canisters
102,2020-02-23,24900.0,Food Jars & Canisters
103,2020-02-24,21793.0,Food Jars & Canisters
104,2020-02-25,21793.0,Food Jars & Canisters
105,2020-02-26,17591.0,Food Jars & Canisters
106,2020-02-27,17591.0,Food Jars & Canisters
107,2020-02-28,26936.0,Food Jars & Canisters
108,2020-02-29,26936.0,Food Jars & Canisters
109,2020-03-01,26936.0,Food Jars & Canisters
110,2020-03-02,12390.0,Food Jars & Canisters
111,2020-03-03,17873.0,Food Jars & Canisters
112,2020-03-04,17873.0,Food Jars & Canisters
113,2020-03-05,17873.0,Food Jars & Canisters
114,2020-03-06,20036.0,Food Jars & Canisters
115,2020-03-07,20036.0,Food Jars & Canisters
116,2020-03-08,20036.0,Food Jars & Canisters
117,2020-03-09,-1.0,Food Jars & Canisters
