,date,value,name_B08P83R3NM
0,2021-03-26,151295,Beer Glasses
1,2021-03-27,179884,Beer Glasses
2,2021-03-28,101821,Beer Glasses
3,2021-03-29,34433,Beer Glasses
4,2021-03-30,34120,Beer Glasses
5,2021-03-31,47953,Beer Glasses
6,2021-04-01,28226,Beer Glasses
7,2021-04-02,40220,Beer Glasses
8,2021-04-03,40385,Beer Glasses
9,2021-04-04,42356,Beer Glasses
10,2021-04-05,33820,Beer Glasses
11,2021-04-06,34626,Beer Glasses
12,2021-04-07,20427,Beer Glasses
13,2021-04-08,20995,Beer Glasses
14,2021-04-09,26133,Beer Glasses
15,2021-04-10,29021,Beer Glasses
16,2021-04-11,22360,Beer Glasses
17,2021-04-12,23080,Beer Glasses
18,2021-04-13,30224,Beer Glasses
19,2021-04-14,30139,Beer Glasses
20,2021-04-15,40301,Beer Glasses
21,2021-04-16,58807,Beer Glasses
22,2021-04-17,47233,Beer Glasses
23,2021-04-18,67975,Beer Glasses
24,2021-04-19,93190,Beer Glasses
25,2021-04-20,93637,Beer Glasses
26,2021-04-21,81971,Beer Glasses
27,2021-04-22,63983,Beer Glasses
28,2021-04-23,31820,Beer Glasses
29,2021-04-24,39188,Beer Glasses
30,2021-04-25,26283,Beer Glasses
31,2021-04-26,29776,Beer Glasses
32,2021-04-27,21590,Beer Glasses
33,2021-04-28,28208,Beer Glasses
34,2021-04-29,34486,Beer Glasses
35,2021-04-30,25291,Beer Glasses
36,2021-05-01,28041,Beer Glasses
37,2021-05-02,23292,Beer Glasses
38,2021-05-03,24103,Beer Glasses
39,2021-05-04,18823,Beer Glasses
40,2021-05-05,18054,Beer Glasses
41,2021-05-06,19007,Beer Glasses
42,2021-05-07,24914,Beer Glasses
43,2021-05-08,16184,Beer Glasses
44,2021-05-09,20018,Beer Glasses
45,2021-05-10,20200,Beer Glasses
46,2021-05-11,20122,Beer Glasses
47,2021-05-12,16932,Beer Glasses
48,2021-05-13,15140,Beer Glasses
49,2021-05-14,18251,Beer Glasses
50,2021-05-15,13818,Beer Glasses
51,2021-05-16,25255,Beer Glasses
52,2021-05-17,18491,Beer Glasses
53,2021-05-18,17752,Beer Glasses
54,2021-05-19,22174,Beer Glasses
55,2021-05-20,14115,Beer Glasses
56,2021-05-21,14614,Beer Glasses
57,2021-05-22,12276,Beer Glasses
58,2021-05-23,14013,Beer Glasses
59,2021-05-24,8678,Beer Glasses
60,2021-05-25,10463,Beer Glasses
61,2021-05-26,8808,Beer Glasses
62,2021-05-27,11020,Beer Glasses
63,2021-05-28,11240,Beer Glasses
64,2021-05-29,8990,Beer Glasses
65,2021-05-30,8653,Beer Glasses
66,2021-05-31,8237,Beer Glasses
67,2021-06-01,7886,Beer Glasses
68,2021-06-02,8978,Beer Glasses
69,2021-06-03,8801,Beer Glasses
70,2021-06-04,8526,Beer Glasses
71,2021-06-05,10855,Beer Glasses
72,2021-06-06,10280,Beer Glasses
73,2021-06-07,10280,Beer Glasses
74,2021-06-08,9414,Beer Glasses
75,2021-06-09,9325,Beer Glasses
76,2021-06-10,11082,Beer Glasses
77,2021-06-11,9830,Beer Glasses
78,2021-06-12,11786,Beer Glasses
79,2021-06-13,10710,Beer Glasses
80,2021-06-14,10858,Beer Glasses
81,2021-06-15,10049,Beer Glasses
82,2021-06-16,10767,Beer Glasses
83,2021-06-17,10427,Beer Glasses
84,2021-06-18,9613,Beer Glasses
85,2021-06-19,9483,Beer Glasses
86,2021-06-20,9941,Beer Glasses
87,2021-06-21,11888,Beer Glasses
88,2021-06-22,14156,Beer Glasses
89,2021-06-23,14379,Beer Glasses
90,2021-06-24,10752,Beer Glasses
91,2021-06-25,9960,Beer Glasses
92,2021-06-26,12907,Beer Glasses
93,2021-06-27,17201,Beer Glasses
94,2021-06-28,18746,Beer Glasses
95,2021-06-29,16707,Beer Glasses
96,2021-06-30,15182,Beer Glasses
97,2021-07-01,11852,Beer Glasses
98,2021-07-02,14377,Beer Glasses
99,2021-07-03,12240,Beer Glasses
100,2021-07-04,12722,Beer Glasses
101,2021-07-05,13558,Beer Glasses
102,2021-07-06,10730,Beer Glasses
103,2021-07-07,8661,Beer Glasses
104,2021-07-08,8795,Beer Glasses
105,2021-07-09,8030,Beer Glasses
