,date,value,name_B08PVMS63F
0,2021-03-10,40556.0,Garden Hoses
1,2021-03-11,24428.0,Garden Hoses
2,2021-03-12,37360.0,Garden Hoses
3,2021-03-13,37360.0,Garden Hoses
4,2021-03-14,36822.0,Garden Hoses
5,2021-03-15,65377.0,Garden Hoses
6,2021-03-16,65377.0,Garden Hoses
7,2021-03-17,10723.0,Garden Hoses
8,2021-03-18,11831.0,Garden Hoses
9,2021-03-19,11831.0,Garden Hoses
10,2021-03-20,11831.0,Garden Hoses
11,2021-03-21,11831.0,Garden Hoses
12,2021-03-22,11831.0,Garden Hoses
13,2021-03-23,11831.0,Garden Hoses
14,2021-03-24,11831.0,Garden Hoses
15,2021-03-25,11831.0,Garden Hoses
16,2021-03-26,11831.0,Garden Hoses
17,2021-03-27,11831.0,Garden Hoses
18,2021-03-28,11831.0,Garden Hoses
19,2021-03-29,11831.0,Garden Hoses
20,2021-03-30,11831.0,Garden Hoses
21,2021-03-31,11831.0,Garden Hoses
22,2021-04-01,11831.0,Garden Hoses
23,2021-04-02,11831.0,Garden Hoses
24,2021-04-03,11831.0,Garden Hoses
25,2021-04-04,11831.0,Garden Hoses
26,2021-04-05,11831.0,Garden Hoses
27,2021-04-06,11831.0,Garden Hoses
28,2021-04-07,11831.0,Garden Hoses
29,2021-04-08,11831.0,Garden Hoses
30,2021-04-09,11831.0,Garden Hoses
31,2021-04-10,11831.0,Garden Hoses
32,2021-04-11,11831.0,Garden Hoses
33,2021-04-12,11831.0,Garden Hoses
34,2021-04-13,11831.0,Garden Hoses
35,2021-04-14,11831.0,Garden Hoses
36,2021-04-15,11831.0,Garden Hoses
37,2021-04-16,11831.0,Garden Hoses
38,2021-04-17,11831.0,Garden Hoses
39,2021-04-18,11831.0,Garden Hoses
40,2021-04-19,11831.0,Garden Hoses
41,2021-04-20,11831.0,Garden Hoses
42,2021-04-21,11831.0,Garden Hoses
43,2021-04-22,11831.0,Garden Hoses
44,2021-04-23,11831.0,Garden Hoses
45,2021-04-24,11831.0,Garden Hoses
46,2021-04-25,11831.0,Garden Hoses
47,2021-04-26,11831.0,Garden Hoses
48,2021-04-27,11831.0,Garden Hoses
49,2021-04-28,11831.0,Garden Hoses
50,2021-04-29,11831.0,Garden Hoses
51,2021-04-30,11831.0,Garden Hoses
52,2021-05-01,11831.0,Garden Hoses
53,2021-05-02,11831.0,Garden Hoses
54,2021-05-03,11831.0,Garden Hoses
55,2021-05-04,11831.0,Garden Hoses
56,2021-05-05,11831.0,Garden Hoses
57,2021-05-06,11831.0,Garden Hoses
58,2021-05-07,11831.0,Garden Hoses
59,2021-05-08,11831.0,Garden Hoses
60,2021-05-09,11831.0,Garden Hoses
61,2021-05-10,11831.0,Garden Hoses
62,2021-05-11,11831.0,Garden Hoses
63,2021-05-12,11831.0,Garden Hoses
64,2021-05-13,11831.0,Garden Hoses
65,2021-05-14,11831.0,Garden Hoses
66,2021-05-15,10281.0,Garden Hoses
67,2021-05-16,10281.0,Garden Hoses
68,2021-05-17,10281.0,Garden Hoses
69,2021-05-18,17260.0,Garden Hoses
70,2021-05-19,17260.0,Garden Hoses
71,2021-05-20,28488.0,Garden Hoses
72,2021-05-21,14286.0,Garden Hoses
73,2021-05-22,14286.0,Garden Hoses
74,2021-05-23,14286.0,Garden Hoses
75,2021-05-24,8684.0,Garden Hoses
76,2021-05-25,1471.0,Garden Hoses
77,2021-05-26,8012.0,Garden Hoses
78,2021-05-27,8012.0,Garden Hoses
79,2021-05-28,18942.0,Garden Hoses
80,2021-05-29,24944.0,Garden Hoses
81,2021-05-30,24944.0,Garden Hoses
82,2021-05-31,13352.0,Garden Hoses
83,2021-06-01,17541.0,Garden Hoses
84,2021-06-02,4812.0,Garden Hoses
85,2021-06-03,12632.0,Garden Hoses
86,2021-06-04,12632.0,Garden Hoses
87,2021-06-05,18344.0,Garden Hoses
88,2021-06-06,23879.0,Garden Hoses
89,2021-06-07,27696.0,Garden Hoses
90,2021-06-08,32834.0,Garden Hoses
91,2021-06-09,32259.0,Garden Hoses
92,2021-06-10,34338.0,Garden Hoses
93,2021-06-11,34338.0,Garden Hoses
94,2021-06-12,34338.0,Garden Hoses
95,2021-06-13,34338.0,Garden Hoses
96,2021-06-14,20850.0,Garden Hoses
97,2021-06-15,10787.0,Garden Hoses
98,2021-06-16,10787.0,Garden Hoses
99,2021-06-17,14616.0,Garden Hoses
100,2021-06-18,17589.0,Garden Hoses
101,2021-06-19,21650.0,Garden Hoses
102,2021-06-20,24004.0,Garden Hoses
103,2021-06-21,24004.0,Garden Hoses
104,2021-06-22,24004.0,Garden Hoses
105,2021-06-23,18263.0,Garden Hoses
106,2021-06-24,22201.0,Garden Hoses
107,2021-06-25,22201.0,Garden Hoses
108,2021-06-26,22201.0,Garden Hoses
109,2021-06-27,22201.0,Garden Hoses
110,2021-06-28,22201.0,Garden Hoses
111,2021-06-29,22201.0,Garden Hoses
112,2021-06-30,31071.0,Garden Hoses
113,2021-07-01,41915.0,Garden Hoses
114,2021-07-02,46012.0,Garden Hoses
115,2021-07-03,46012.0,Garden Hoses
116,2021-07-04,62153.0,Garden Hoses
117,2021-07-05,85043.0,Garden Hoses
118,2021-07-06,85043.0,Garden Hoses
119,2021-07-07,85043.0,Garden Hoses
120,2021-07-08,16523.0,Garden Hoses
121,2021-07-09,19562.0,Garden Hoses
