,date,value,name_B08YJQ8PDS
0,2021-03-23,19905.0,Panels
1,2021-03-24,19905.0,Panels
2,2021-03-25,19905.0,Panels
3,2021-03-26,23414.0,Panels
4,2021-03-27,23414.0,Panels
5,2021-03-28,23414.0,Panels
6,2021-03-29,23414.0,Panels
7,2021-03-30,31976.0,Panels
8,2021-03-31,22548.0,Panels
9,2021-04-01,22548.0,Panels
10,2021-04-02,22548.0,Panels
11,2021-04-03,32188.0,Panels
12,2021-04-04,32188.0,Panels
13,2021-04-05,32188.0,Panels
14,2021-04-06,33259.0,Panels
15,2021-04-07,39938.0,Panels
16,2021-04-08,22851.0,Panels
17,2021-04-09,22851.0,Panels
18,2021-04-10,26769.0,Panels
19,2021-04-11,26769.0,Panels
20,2021-04-12,34723.0,Panels
21,2021-04-13,34723.0,Panels
22,2021-04-14,24814.0,Panels
23,2021-04-15,24814.0,Panels
24,2021-04-16,22115.0,Panels
25,2021-04-17,31381.0,Panels
26,2021-04-18,31381.0,Panels
27,2021-04-19,34863.0,Panels
28,2021-04-20,38514.0,Panels
29,2021-04-21,38514.0,Panels
30,2021-04-22,38514.0,Panels
31,2021-04-23,38514.0,Panels
32,2021-04-24,38514.0,Panels
33,2021-04-25,38514.0,Panels
34,2021-04-26,38514.0,Panels
35,2021-04-27,38514.0,Panels
36,2021-04-28,38514.0,Panels
37,2021-04-29,38514.0,Panels
38,2021-04-30,38514.0,Panels
39,2021-05-01,38514.0,Panels
40,2021-05-02,38514.0,Panels
41,2021-05-03,38514.0,Panels
42,2021-05-04,38514.0,Panels
43,2021-05-05,29131.0,Panels
44,2021-05-06,29131.0,Panels
45,2021-05-07,29131.0,Panels
46,2021-05-08,34435.0,Panels
47,2021-05-09,34435.0,Panels
48,2021-05-10,33904.0,Panels
49,2021-05-11,33904.0,Panels
50,2021-05-12,24443.0,Panels
51,2021-05-13,24443.0,Panels
52,2021-05-14,26575.0,Panels
53,2021-05-15,26575.0,Panels
54,2021-05-16,23120.0,Panels
55,2021-05-17,23120.0,Panels
56,2021-05-18,21007.0,Panels
57,2021-05-19,15036.0,Panels
58,2021-05-20,14305.0,Panels
59,2021-05-21,14305.0,Panels
60,2021-05-22,18384.0,Panels
61,2021-05-23,18384.0,Panels
62,2021-05-24,23347.0,Panels
63,2021-05-25,23347.0,Panels
64,2021-05-26,17761.0,Panels
65,2021-05-27,17761.0,Panels
66,2021-05-28,23402.0,Panels
67,2021-05-29,26094.0,Panels
68,2021-05-30,26094.0,Panels
69,2021-05-31,26094.0,Panels
70,2021-06-01,28298.0,Panels
71,2021-06-02,28298.0,Panels
72,2021-06-03,20975.0,Panels
73,2021-06-04,22741.0,Panels
74,2021-06-05,22741.0,Panels
75,2021-06-06,22741.0,Panels
76,2021-06-07,26760.0,Panels
77,2021-06-08,27959.0,Panels
78,2021-06-09,27959.0,Panels
79,2021-06-10,27959.0,Panels
80,2021-06-11,23704.0,Panels
81,2021-06-12,23704.0,Panels
82,2021-06-13,23660.0,Panels
83,2021-06-14,23660.0,Panels
84,2021-06-15,23660.0,Panels
85,2021-06-16,27456.0,Panels
86,2021-06-17,27456.0,Panels
87,2021-06-18,23416.0,Panels
88,2021-06-19,24462.0,Panels
89,2021-06-20,24462.0,Panels
90,2021-06-21,21101.0,Panels
91,2021-06-22,33668.0,Panels
92,2021-06-23,35706.0,Panels
93,2021-06-24,30916.0,Panels
94,2021-06-25,23044.0,Panels
95,2021-06-26,23044.0,Panels
96,2021-06-27,23044.0,Panels
97,2021-06-28,26571.0,Panels
98,2021-06-29,21850.0,Panels
99,2021-06-30,21850.0,Panels
100,2021-07-01,24832.0,Panels
101,2021-07-02,24832.0,Panels
102,2021-07-03,24832.0,Panels
103,2021-07-04,25591.0,Panels
104,2021-07-05,26047.0,Panels
105,2021-07-06,23854.0,Panels
106,2021-07-07,25938.0,Panels
107,2021-07-08,25938.0,Panels
108,2021-07-09,19760.0,Panels
109,2021-07-10,18478.0,Panels
