,date,value,name_B093H1QQTT
0,2021-05-02,2938.0,Permanent Markers
1,2021-05-03,2938.0,Permanent Markers
2,2021-05-04,2938.0,Permanent Markers
3,2021-05-05,1915.0,Permanent Markers
4,2021-05-06,3294.0,Permanent Markers
5,2021-05-07,3294.0,Permanent Markers
6,2021-05-08,3294.0,Permanent Markers
7,2021-05-09,3074.0,Permanent Markers
8,2021-05-10,3074.0,Permanent Markers
9,2021-05-11,2585.0,Permanent Markers
10,2021-05-12,2585.0,Permanent Markers
11,2021-05-13,2480.0,Permanent Markers
12,2021-05-14,2480.0,Permanent Markers
13,2021-05-15,2057.0,Permanent Markers
14,2021-05-16,2057.0,Permanent Markers
15,2021-05-17,2012.0,Permanent Markers
16,2021-05-18,2012.0,Permanent Markers
17,2021-05-19,2012.0,Permanent Markers
18,2021-05-20,2214.0,Permanent Markers
19,2021-05-21,2214.0,Permanent Markers
20,2021-05-22,2214.0,Permanent Markers
21,2021-05-23,3252.0,Permanent Markers
22,2021-05-24,2491.0,Permanent Markers
23,2021-05-25,2491.0,Permanent Markers
24,2021-05-26,2491.0,Permanent Markers
25,2021-05-27,2491.0,Permanent Markers
26,2021-05-28,1413.0,Permanent Markers
27,2021-05-29,1413.0,Permanent Markers
28,2021-05-30,1413.0,Permanent Markers
29,2021-05-31,1508.0,Permanent Markers
30,2021-06-01,1308.0,Permanent Markers
31,2021-06-02,1308.0,Permanent Markers
32,2021-06-03,1308.0,Permanent Markers
33,2021-06-04,1349.0,Permanent Markers
34,2021-06-05,1349.0,Permanent Markers
35,2021-06-06,1585.0,Permanent Markers
36,2021-06-07,1585.0,Permanent Markers
37,2021-06-08,1585.0,Permanent Markers
38,2021-06-09,1234.0,Permanent Markers
39,2021-06-10,1653.0,Permanent Markers
40,2021-06-11,1560.0,Permanent Markers
41,2021-06-12,1560.0,Permanent Markers
42,2021-06-13,2526.0,Permanent Markers
43,2021-06-14,2526.0,Permanent Markers
44,2021-06-15,2526.0,Permanent Markers
45,2021-06-16,2123.0,Permanent Markers
46,2021-06-17,2123.0,Permanent Markers
47,2021-06-18,3189.0,Permanent Markers
48,2021-06-19,2901.0,Permanent Markers
49,2021-06-20,2901.0,Permanent Markers
50,2021-06-21,3007.0,Permanent Markers
51,2021-06-22,2217.0,Permanent Markers
52,2021-06-23,2217.0,Permanent Markers
53,2021-06-24,2217.0,Permanent Markers
54,2021-06-25,2170.0,Permanent Markers
55,2021-06-26,2094.0,Permanent Markers
56,2021-06-27,2094.0,Permanent Markers
57,2021-06-28,3543.0,Permanent Markers
58,2021-06-29,2777.0,Permanent Markers
59,2021-06-30,2698.0,Permanent Markers
60,2021-07-01,2698.0,Permanent Markers
61,2021-07-02,2698.0,Permanent Markers
62,2021-07-03,2698.0,Permanent Markers
63,2021-07-04,2451.0,Permanent Markers
64,2021-07-05,2451.0,Permanent Markers
65,2021-07-06,2451.0,Permanent Markers
66,2021-07-07,2451.0,Permanent Markers
67,2021-07-08,2303.0,Permanent Markers
68,2021-07-09,2303.0,Permanent Markers
69,2021-07-10,3173.0,Permanent Markers
70,2021-07-11,2651.0,Permanent Markers
